"UpperSthCk_CR_002y2hr_001","Location","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Water Level","Flow","Flow","Flow","Flow","Water Level","Flow","Water Level","Flow","Flow","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Water Level","Water Level","Flow","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Water Level","Flow","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Water Level","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"G:\TUFLOW\_projects\BondsCk_CR\runs\UpperSthCk_CR_002y2hr_001.tcf","Time","Scalabrini1","Saclabrini2","Nr_146B_Dickson_Rd","US_Ingleburn_rd","US_Rickard_rd","Scalabrini_DS_Bringelly","Bonds_DS_Ingleburn","Bonds_DS_Rickard","BondsCreek","Scalabrini US SWRL","Bonds US SWRL","Scalabrini_US_Bringelly","Bonds_US_Bringelly","Bonds_US_SWRL","Bonds_DS_Bringelly","BondsCreek_DS","CR_Basin9_Inlet_Check","CR_Rickard_Weir Check","CR_Basin9_WSL_Inlet_Check","CR_DS_Basin9_WSL_Check","CR_US_Basin9_WSL_Check","Kemps1","Kemps2","US_McCann_Rd","US_Eastwood_Rd","US_Heath_Rd","Kemps_DS_Bringelly","Kemps US SWRL","Kemps_US_Eastwood","Kemps_DS_Heath","Kemps_US_Bringelly","Kems_US_SWRL","Springfield_rd","Catherine_fields_rd","Barry_ave","Masterfield_st","Bringelly_rd_DS","Robens_cr","Bringelly_rd_q_h_southck","Bringelly_rd_q_h_southck","Bringelly_rd_q_h_southck","Bringelly_rd_q_h_thomck","Bringelly_rd_q_h_thomck","Masterfield_lot1","MASTERFILED_LOT2","MASTERFIELD_LOT4","MASTERFIELD_LOT5","MASTERFIELD_LOT6","MASTERFIELD_LOT7","MASTERFIELD_LOT17","US_Rileys_South_Confl","DS_Rileys_South_Confl","US_Lowes_South_Confl","US_Robens Cres","US_Robens Cres","Side of Fields Rd","Side of Fields Rd","SouthCk_US_BringellyRd","SouthCk_DS_BringellyRd","Rileys_DS_CVW","Rileys_DS_AnthonyRd","BarryRd_US_Confl","Turner_rd_q_US","Oran_pk1_q","Oran_pk2_q","Oran_pk3_q","Turner_rd_h_DS","Oran_pk1_h","Oran_pk2_h","Oran_pk3_h","US_Bringelly_SouthCk","Turner_rd_q_DS","Turner_rd_h_US","Rileys_DS_Storage","C 1-1","C 1-2","C 1-3","C 1-4","C 1-5","CR_B10_Output"
"G:\TUFLOW\_projects\BondsCk_CR\results\002y2hr\UpperSthCk_CR_002y2hr_001_PO.csv",          0.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0000,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          1.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0261,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          2.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0036,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          3.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0029,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          4.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0029,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          5.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0005,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,          6.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0006,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0011,          0.0000,          0.0000,          0.0000,          0.0000
,          7.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0006,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0025,          0.0000,          0.0000,          0.0000,          0.0000
,          8.0000,         73.6569,         73.9174,         74.3219,         80.5580,         83.9102,          0.0005,          0.0000,          0.0000,         72.4043,          0.0000,          0.0000,          0.0000,          0.0000,         74.5702,          0.0000,         73.7414,          0.0000,          0.0000,         87.3362,         83.5758,         86.0009,         74.6193,         73.5475,         78.6469,         78.5714,         84.2223,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         76.1088,         76.5564,         66.8070,         66.0448,         58.4072,         59.7097,         63.1685,         54.8799,          0.0000,         57.9892,         73.1184,          0.0000,         58.6024,         58.6430,         58.6407,         58.7281,         58.9122,         59.1456,         58.9739,          0.0000,          0.0000,          0.0000,          0.0000,         64.6285,          0.0000,         73.1500,         56.8613,         57.1630,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,         89.8259,         82.4375,         82.0900,         81.7448,          0.0000,          0.0000,         90.3233,          0.0000,          0.0000,          0.0052,          0.0000,          0.0000,          0.0000,          0.0000
